Location ID,Location Name,City,Country,Latitude,Longitude
8088,Peshawar,N/A,PK,34.005852,71.53775
8156,Karachi,N/A,PK,24.8415,67.0091
8634,US Diplomatic Post: Islamabad,Islamabad,PK,33.7235,73.11822
8664,US Diplomatic Post: Lahore,Lahore,PK,31.560078,74.33589
233470,Islamabad,N/A,PK,33.725614,73.11602
1894633,"Karachi, Pakistan",,PK,24.811053632574033,67.05825434267292
1894641,Lahore,,PK,31.54815,74.34396
3089895,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759
3182341,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759
3213801,"Soomra Society, Scheme 33, Karachi",,PK,24.960929,67.161759
3292849,Farhan Shah Labs,,PK,32.424312,74.52885
4296966,Buraq integrated solutions,,PK,33.643208,73.068119
4515157,"Barki, Lahore",,PK,31.4591591,74.5396309
4515644,"F-7, Islamabad",,PK,33.7213352,73.0560998
4527035,Civil Secretariat,,PK,31.565942,74.2993626
4527173,Learning Alliance Intl. DHA,,PK,31.525621,74.436078
4527306,FOOT & MOUTH DISEASE RESEARCH CENTRE,,PK,31.53574,74.43538
4527402,"HBFC Society, DHA Phase 5 (Hussainy House)",,PK,31.4571645,74.4106586
4535267,Gajju Matta (Kahna),,PK,31.377378,74.350574
4554236,Rawalpindi Women University,,PK,33.6452478,73.0646181
4554729,Sandha Road,,PK,31.562302,74.3027031
4555745,Ravi Road,,PK,31.602875,74.300927
4556719,"Wasa 3, OHR Office ",,PK,33.650973,73.0788731
4557686,Shalimar Town,,PK,31.574289,74.447898
4565419,Social Welfare Department,,PK,33.6278837,73.0924564
4565932,WASA Head Office 1,,PK,33.6022915,73.0560117
4565933,"IEEE, Punjab University, LHR",,PK,31.495322,74.295056
4566426,Punjab Food Authority,,PK,33.6304566,73.0729694
4566427,Johar Town,,PK,31.460056,74.280672
4567363,Public Health Engineering,,PK,33.6335684,73.0614477
4567364,"Conservator of Forest, North zone",,PK,33.540583,73.116917
4567932,PHA Head Office,,PK,33.6055187,73.0611438
4568423,Model Town,,PK,31.491676,74.313288
4568424,E11/4 Sector Islamabad,,PK,33.698979,72.981907
4579733,WASA 2 (Sufaid tanki),,PK,33.6386254,73.069351
4600078,Abasyn University,,PK,34.0321798,71.5864122
4605118,Small industrial development board(SIDB),,PK,33.9817904,71.5567563
4605119,College Road,,PK,31.421799,74.274837
